identificador; lado_a_area; lado_a_altura; lado_a_largura; lado_b_area; lado_b_altura; lado_b_largura; volume; classificacao;peso
A64;21876;100;70;17998;77;75;2181600;1;63.57
A65;20871;94;70;17414;75;74;1968560;1;61.47
A66;20741;92;72;17703;76;75;1909720;1;61.99
A67;18675;87;68;15776;71;71;1629840;1;55.99
A68;19926;92;69;16932;74;73;1827020;1;57.71
A69;20874;93;72;17489;75;74;1931220;1;61.38
A70;19777;90;70;16685;73;72;1771900;1;58.23
A71;19607;88;70;17024;74;73;1734130;1;57.86
A72;20467;92;71;17301;75;73;1877080;1;60.92
A73;20287;94;68;16580;73;72;1907130;1;58.71
A74;20250;92;70;17026;74;73;1861760;1;59.69
A75;20960;95;70;17310;75;73;1991520;1;61.1
A76;21035;96;70;17300;74;74;2011620;1;69.09
A77;20975;94;71;17454;76;74;1970820;1;61.46
A78;21015;96;70;17454;76;74;2011670;1;61.43
A79;20779;94;70;17277;74;74;1950680;1;60.48
A80;20459;92;71;17461;75;74;1875950;1;60.65
A81;20649;93;70;17251;75;74;1927560;1;60.65
A82;21191;94;72;17567;76;74;1995060;1;61.84
A83;19652;88;71;16728;73;72;1729090;1;57.94
A84;20525;93;70;17092;74;73;1904650;1;60.61
A85;21601;105;66;15815;73;69;2258640;1;60
A86;19725;90;70;16791;73;73;1762410;1;58.72
A87;19831;92;69;16163;72;71;1815690;1;58.37
A88;18619;89;67;14988;69;69;1648840;1;54.36
A89;20207;91;71;17373;75;74;1832150;1;60.44
A90;20512;92;71;17249;75;74;1892140;1;60.57
A91;20923;94;71;17348;75;74;1970280;1;61.59
A92;18284;85;69;15572;71;70;1552240;1;53.95
A93;20935;94;71;17529;76;74;1977240;1;61.66
A94;20024;93;68;16329;72;72;1859290;1;57.74
A95;19569;90;69;16420;73;72;1759200;1;57.36
A96;20082;95;67;16324;72;72;1896380;1;56.95
A97;20922;94;71;17413;75;74;1960430;1;61.7
A98;21020;98;69;16037;72;71;2053560;1;60.6
A99;20734;94;70;16829;73;73;1959630;1;60.69
A100;20526;93;70;17202;75;73;1902570;1;60.15
B1;18760;90;66;14366;68;67;1697880;2;53.5
B2;18771;88;68;15044;70;69;1663120;2;54.1
B3;17658;84;67;14861;69;69;1485400;2;50.48
B4;19992;92;69;16398;73;72;1835540;2;56.92
B5;17615;84;66;14963;69;69;1482530;2;49.71
B6;18592;88;67;15303;70;69;1641630;2;52.97
B7;19475;91;68;15221;70;69;1780670;2;54.85
B8;18156;87;66;15001;69;69;1575010;2;52.31
B9;17815;86;66;14669;69;68;1533990;2;50.8
B10;17330;84;65;14320;68;67;1460110;2;48.58
B11;18417;89;66;14677;69;68;1644520;2;51.55
B12;18120;86;67;15211;70;69;1549790;2;52.84
B13;17950;85;67;15077;69;69;1518170;2;52.27
B14;18186;87;67;15026;69;69;1579760;2;52.48
B15;17643;88;64;14057;67;67;1543850;2;49.35
B16;17616;84;67;14575;69;68;1481570;2;50.82
B17;18268;88;66;14731;69;68;1610670;2;51.93
B18;18515;88;67;15583;71;70;1619030;2;52.84
B19;17831;88;64;13719;66;66;1575550;2;50.24
B20;17657;84;67;14905;69;69;1483200;2;51.59
B21;17892;87;65;14229;67;67;1558590;2;50.74
B22;18343;88;67;14869;69;69;1606660;2;52.47
B23;17957;85;67;15233;70;69;1524810;2;52.28
B24;18168;87;67;15280;70;70;1574080;2;51.89
B25;18050;87;66;14688;69;68;1575190;2;51.52
B26;17949;86;66;14813;69;68;1546120;2;51.36
B27;17693;85;66;14521;68;68;1512600;2;50.25
B28;19242;89;69;15926;71;71;1715120;2;55.74
B29;18561;93;64;14137;67;67;1718310;2;51.78
B30;18093;86;67;14808;69;68;1552170;2;52.47
B31;18612;89;67;14775;69;68;1655240;2;53
B32;18196;87;67;14677;69;68;1578580;2;52
B33;18973;90;67;14836;69;68;1716140;2;53.34
B34;18524;89;66;14377;68;68;1655670;2;52.41
B35;18724;87;68;15398;70;70;1632800;2;54.33
B36;18515;89;67;15108;69;69;1642330;2;53.12
B37;18109;86;67;14952;69;69;1549460;2;52.29
B38;18019;87;66;14663;68;68;1562730;2;51.24
B39;18248;88;66;14432;68;68;1605350;2;51.21
B40;18143;88;66;14734;69;68;1588550;2;51.12
B41;18060;88;65;14402;68;67;1597260;2;50.98
B42;18521;89;66;15187;70;69;1645340;2;52.04
B43;18469;90;66;14348;68;67;1658630;2;52.11
B44;17868;83;68;15045;70;69;1484320;2;51.73
B45;18689;88;67;15364;70;70;1644570;2;53.58
B46;18611;89;67;15071;70;69;1654980;2;53.12
B47;18391;89;65;15071;70;69;1647240;2;51.71
B48;18834;89;68;15350;70;70;1667480;2;52.93
B49;17778;87;65;14812;70;68;1539680;2;50.91
B50;17511;87;64;13676;67;65;1524580;2;49.15
B51;18304;88;66;14487;68;68;1605480;2;51.95
B52;17902;90;63;13624;66;65;1616320;2;49.13
B53;18039;88;65;14266;68;67;1588240;2;50.73
B54;18548;88;67;15466;70;70;1628640;2;52.53
B55;14695;69;68;18602;89;66;1010360;2;53.15
B56;18739;90;67;15120;70;69;1675090;2;53.75
B57;18805;94;64;13955;67;66;1763720;2;52.37
B58;18531;91;65;14190;68;66;1689040;2;51.87
B59;18389;87;67;15316;70;70;1596030;2;53.1
B60;18815;91;66;14837;69;69;1712750;2;53.27
B61;19119;91;67;15315;70;70;1750890;2;54.6
B62;19256;91;68;15551;71;70;1750170;2;54.86
B63;18851;93;65;14052;67;67;1747960;2;53.04
B64;18953;89;68;15614;71;70;1680990;2;54.65
B65;17983;85;67;14724;69;68;1533690;2;51.66
B66;18150;85;68;15554;72;69;1538630;2;52.49
B67;18032;89;65;14270;68;67;1602890;2;50.69
B68;18375;92;64;14068;67;67;1683430;2;50.71
B69;18625;91;65;14653;68;68;1684170;2;52.54
B70;18851;93;64;14507;68;68;1753380;2;52.34
B71;17984;86;67;14896;69;69;1542040;2;51.91
B72;18393;89;66;14763;69;68;1637160;2;52.14
B73;18716;92;65;14678;69;68;1722070;2;51.8
B74;18629;90;66;15086;69;69;1668560;2;52.67
B75;18493;91;65;14549;69;68;1678280;2;51.92
B76;18820;89;67;15156;70;69;1682060;2;53.99
B77;18168;86;67;15148;70;69;1564550;2;52.51
B78;18571;88;67;14991;69;69;1632790;2;53.8
B79;17622;86;65;13973;67;67;1509550;2;49.93
B80;18479;88;66;15083;69;69;1627110;2;52.33
B81;17581;87;65;14109;67;67;1519660;2;49.37
B82;17957;86;66;14793;69;68;1549900;2;51.6
B83;18057;87;66;14392;68;67;1569530;2;51.77
B84;18555;89;67;14783;69;68;1646220;2;52.63
B85;18534;88;67;15224;70;69;1627840;2;53.43
B86;17510;85;65;14441;68;68;1495750;2;49.91
B87;18689;91;65;14545;68;68;1710660;2;52.08
B88;17642;87;65;14144;67;67;1535380;2;49.64
B89;18185;87;66;14688;69;68;1586010;2;52.06
B90;18451;88;67;15034;69;69;1619510;2;52.55
B91;17636;85;66;14448;68;67;1495080;2;50.1
B92;18437;88;67;15151;69;69;1617520;2;52.71
B93;18806;88;68;15773;71;71;1650070;2;54.29
B94;19666;92;68;15557;71;70;1806560;2;55.82
B95;18571;87;68;15519;70;70;1617400;2;53.83
B96;19000;90;67;15320;70;70;1715570;2;54.49
B97;18568;88;67;15095;70;69;1639180;2;53.24
B98;18647;91;66;14783;69;68;1688640;2;52.63
B99;17683;85;66;14684;68;68;1495370;2;50.55
B100;18294;88;66;14696;69;68;1610740;2;51.85
E1;21125;96;70;16777;73;73;2021620;3;62.07
E2;22131;94;75;18709;77;77;2074460;3;67.35
E3;22225;98;72;18124;76;76;2169770;3;66.42
E4;22349;95;75;18679;78;77;2130030;3;67.25
E5;21049;93;72;17471;75;74;1954920;3;62.34
E6;22312;97;73;18078;76;75;2171070;3;66.57
E7;21775;94;74;18346;77;76;2047740;3;65.95
E8;22877;98;74;18644;78;77;2245080;3;68.35
E9;22362;98;73;17870;76;75;2184920;3;66.69
E10;22987;98;75;18586;77;76;2241570;3;68.63
E11;22323;98;73;17951;76;75;2185330;3;66.22
E12;22384;97;73;18822;79;76;2166500;3;67.74
